0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/dist/js/pages/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/dist/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /plugins/inputmask/min/jquery.inputmask.bundle.min.js HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/1111.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:19:19 +0300] "GET /basic-webapp/adminpanel/kullaniciyukle.jsp HTTP/1.1" 200 35162
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:19:19 +0300] "GET /plugins/inputmask/min/jquery.inputmask.bundle.min.js HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/kullaniciyukle.jsp HTTP/1.1" 200 35706
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 304 -
